Timestamp,PM2.5,PM10,O3,NO2,SO2,CO
2024-03-10 18:22:39,160,85,11.5,6.8,13,6.2
2024-03-10 18:24:18,160,85,11.5,6.8,13,6.2
2024-03-10 18:45:10,157,79,11.5,6.6,12.9,6.5
2024-03-11 07:38:17,142,66,11.6,6.5,13,8.3
2024-03-12 07:38:02,115,57,28.8,8.2,13,2.9
2024-03-13 07:38:18,67,31,19.4,5.5,13,1.5
2024-03-14 07:37:58,70,33,16.7,5.9,13,1.9
2024-03-15 07:38:43,70,33,16.7,5.9,13,1.9
2024-03-16 07:38:24,155,76,15,7,12.9,2.6
2024-03-17 07:38:12,136,52,15,9.6,13,2.6
2024-03-18 07:38:10,131,63,15,12.6,12.8,3
2024-03-19 07:38:18,143,67,28.5,9.8,13,4.5
2024-03-20 07:39:47,146,68,11.7,6.4,13,8.3
2024-03-21 07:38:17,100,52,18.3,11.4,12.9,5
2024-03-22 07:38:20,92,48,11.5,7.2,13,7.2
2024-03-23 07:38:38,149,69,11.7,12.8,13,5.6
2024-03-24 07:38:23,120,59,11.4,10.5,13,2.4
2024-03-25 07:38:15,66,30,13,7.4,13,2.8
2024-03-26 07:37:57,87,45,12.5,9.8,13,3.4
2024-03-27 07:38:30,107,55,11.6,6.6,13,3.9
